attack,dataset,model,defense,f1_clean_mean,f1_clean_std,f1_attacked_mean,f1_attacked_std,delta_f1_mean,delta_f1_std
clean,sms_uci,minilm_lr.joblib,none,0.9517241379310344,0.0,0.9517241379310344,0.0,0.0,0.0
clean,sms_uci,minilm_lr.joblib,normalize,0.9130434782608695,0.0,0.9130434782608695,0.0,0.0,0.0
clean,sms_uci,spamassassin_minilm_lr.joblib,none,0.1346153846153846,0.0,0.1346153846153846,0.0,0.0,0.0
clean,sms_uci,spamassassin_minilm_lr.joblib,normalize,0.1102756892230576,0.0,0.1102756892230576,0.0,0.0,0.0
clean,sms_uci,spamassassin_tfidf_char_svm.joblib,none,0.22356495468277943,0.0,0.22356495468277943,0.0,0.0,0.0
clean,sms_uci,spamassassin_tfidf_char_svm.joblib,normalize,0.2235294117647059,0.0,0.2235294117647059,0.0,0.0,0.0
clean,sms_uci,spamassassin_tfidf_word_lr.joblib,none,0.2840236686390532,0.0,0.2840236686390532,0.0,0.0,0.0
clean,sms_uci,spamassassin_tfidf_word_lr.joblib,normalize,0.2789317507418398,0.0,0.2789317507418398,0.0,0.0,0.0
clean,sms_uci,tfidf_char_svm.joblib,none,0.9726027397260275,0.0,0.9726027397260275,0.0,0.0,0.0
clean,sms_uci,tfidf_char_svm.joblib,normalize,0.9361702127659577,0.0,0.9361702127659577,0.0,0.0,0.0
clean,sms_uci,tfidf_llm_lr.joblib,none,0.9208633093525179,0.0,0.9208633093525179,0.0,0.0,0.0
clean,sms_uci,tfidf_llm_lr.joblib,normalize,0.8721804511278195,0.0,0.8721804511278195,0.0,0.0,0.0
clean,sms_uci,tfidf_word_lr.joblib,none,0.9208633093525179,0.0,0.9208633093525179,0.0,0.0,0.0
clean,sms_uci,tfidf_word_lr.joblib,normalize,0.8721804511278195,0.0,0.8721804511278195,0.0,0.0,0.0
clean,spamassassin,minilm_lr.joblib,none,0.154727793696275,0.0,0.154727793696275,0.0,0.0,0.0
clean,spamassassin,minilm_lr.joblib,normalize,0.2864197530864197,0.0,0.2864197530864197,0.0,0.0,0.0
clean,spamassassin,spamassassin_minilm_lr.joblib,none,0.3163097199341021,0.0,0.3163097199341021,0.0,0.0,0.0
clean,spamassassin,spamassassin_minilm_lr.joblib,normalize,0.3596638655462185,0.0,0.3596638655462185,0.0,0.0,0.0
clean,spamassassin,spamassassin_tfidf_char_svm.joblib,none,0.0931780366056572,0.0,0.0931780366056572,0.0,0.0,0.0
clean,spamassassin,spamassassin_tfidf_char_svm.joblib,normalize,0.1349072512647554,0.0,0.1349072512647554,0.0,0.0,0.0
clean,spamassassin,spamassassin_tfidf_word_lr.joblib,none,0.11647254575707149,0.0,0.11647254575707149,0.0,0.0,0.0
clean,spamassassin,spamassassin_tfidf_word_lr.joblib,normalize,0.1359867330016583,0.0,0.1359867330016583,0.0,0.0,0.0
clean,spamassassin,tfidf_char_svm.joblib,none,0.4618181818181818,0.0,0.4618181818181818,0.0,0.0,0.0
clean,spamassassin,tfidf_char_svm.joblib,normalize,0.3062645011600928,0.0,0.3062645011600928,0.0,0.0,0.0
clean,spamassassin,tfidf_llm_lr.joblib,none,0.1303116147308781,0.0,0.1303116147308781,0.0,0.0,0.0
clean,spamassassin,tfidf_llm_lr.joblib,normalize,0.1371428571428571,0.0,0.1371428571428571,0.0,0.0,0.0
clean,spamassassin,tfidf_word_lr.joblib,none,0.1348314606741573,0.0,0.1348314606741573,0.0,0.0,0.0
clean,spamassassin,tfidf_word_lr.joblib,normalize,0.1464788732394366,0.0,0.1464788732394366,0.0,0.0,0.0
obfuscate,sms_uci,minilm_lr.joblib,none,0.9517241379310344,0.0,0.8808282960612361,0.014007317575211113,-0.07089584186979823,0.014007317575211122
obfuscate,sms_uci,minilm_lr.joblib,normalize,0.9130434782608695,0.0,0.7796047372498862,0.03629423020756416,-0.13343874101098324,0.03629423020756421
obfuscate,sms_uci,spamassassin_minilm_lr.joblib,none,0.1346153846153846,0.0,0.1337992998993334,0.01800308492830306,-0.00081608471605114,0.018003084928303013
obfuscate,sms_uci,spamassassin_minilm_lr.joblib,normalize,0.1102756892230576,0.0,0.1364566361759699,0.013919325144052051,0.026180946952912277,0.01391932514405208
obfuscate,sms_uci,spamassassin_tfidf_char_svm.joblib,none,0.22356495468277943,0.0,0.22650546924470852,0.018266269052790697,0.00294051456192908,0.018266269052790635
obfuscate,sms_uci,spamassassin_tfidf_char_svm.joblib,normalize,0.2235294117647059,0.0,0.21245309280671526,0.022997755351150492,-0.0110763189579906,0.022997755351150444
obfuscate,sms_uci,spamassassin_tfidf_word_lr.joblib,none,0.2840236686390532,0.0,0.24790439665907854,0.021196494069894153,-0.03611927197997466,0.02119649406989416
obfuscate,sms_uci,spamassassin_tfidf_word_lr.joblib,normalize,0.2789317507418398,0.0,0.2422974547934341,0.03338564230050628,-0.03663429594840558,0.03338564230050631
obfuscate,sms_uci,tfidf_char_svm.joblib,none,0.9726027397260275,0.0,0.951007912275518,0.007335716624139677,-0.02159482745050946,0.007335716624139736
obfuscate,sms_uci,tfidf_char_svm.joblib,normalize,0.9361702127659577,0.0,0.890498487952395,0.006879258538561121,-0.04567172481356254,0.006879258538561169
obfuscate,sms_uci,tfidf_llm_lr.joblib,none,0.9208633093525179,0.0,0.8164365497577016,0.029689910027236217,-0.10442675959481629,0.029689910027236185
obfuscate,sms_uci,tfidf_llm_lr.joblib,normalize,0.8721804511278195,0.0,0.7366214561464185,0.03415945822210457,-0.13555899498140095,0.034159458222104595
obfuscate,sms_uci,tfidf_word_lr.joblib,none,0.9208633093525179,0.0,0.8148250472645634,0.022397758822175803,-0.10603826208795457,0.02239775882217581
obfuscate,sms_uci,tfidf_word_lr.joblib,normalize,0.8721804511278195,0.0,0.7366214561464185,0.03415945822210457,-0.13555899498140095,0.034159458222104595
obfuscate,spamassassin,minilm_lr.joblib,none,0.154727793696275,0.0,0.07550209451577175,0.018073952740299624,-0.07922569918050322,0.018073952740299663
obfuscate,spamassassin,minilm_lr.joblib,normalize,0.2864197530864197,0.0,0.10897594838580946,0.015377015660894545,-0.17744380470061022,0.015377015660894593
obfuscate,spamassassin,spamassassin_minilm_lr.joblib,none,0.3163097199341021,0.0,0.31928409778637923,0.025096876280682457,0.0029743778522771398,0.025096876280682415
obfuscate,spamassassin,spamassassin_minilm_lr.joblib,normalize,0.3596638655462185,0.0,0.37965975382087164,0.011105562462978082,0.019995888274653158,0.011105562462978101
obfuscate,spamassassin,spamassassin_tfidf_char_svm.joblib,none,0.0931780366056572,0.0,0.08048578160625715,0.0036503207922865314,-0.01269225499939998,0.003650320792286551
obfuscate,spamassassin,spamassassin_tfidf_char_svm.joblib,normalize,0.1349072512647554,0.0,0.14033042069200635,0.003407150188224545,0.00542316942725086,0.003407150188224545
obfuscate,spamassassin,spamassassin_tfidf_word_lr.joblib,none,0.11647254575707149,0.0,0.10612954188803805,0.011847277628374057,-0.01034300386903348,0.011847277628374023
obfuscate,spamassassin,spamassassin_tfidf_word_lr.joblib,normalize,0.1359867330016583,0.0,0.12785592612742688,0.005982308948907932,-0.008130806874231341,0.005982308948907959
obfuscate,spamassassin,tfidf_char_svm.joblib,none,0.4618181818181818,0.0,0.42598920443738775,0.013757693613898697,-0.03582897738079396,0.01375769361389865
obfuscate,spamassassin,tfidf_char_svm.joblib,normalize,0.3062645011600928,0.0,0.21969157666201133,0.011688503958381918,-0.08657292449808138,0.011688503958381885
obfuscate,spamassassin,tfidf_llm_lr.joblib,none,0.1303116147308781,0.0,0.12451055458626185,0.00910479924339116,-0.00580106014461626,0.009104799243391132
obfuscate,spamassassin,tfidf_llm_lr.joblib,normalize,0.1371428571428571,0.0,0.11626780109433794,0.013271045821957952,-0.02087505604851912,0.013271045821957905
obfuscate,spamassassin,tfidf_word_lr.joblib,none,0.1348314606741573,0.0,0.12709626501458687,0.00902337046805099,-0.0077351956595703795,0.009023370468050974
obfuscate,spamassassin,tfidf_word_lr.joblib,normalize,0.1464788732394366,0.0,0.12241548578645263,0.011878598647739588,-0.02406338745298388,0.011878598647739578
paraphrase_like,sms_uci,minilm_lr.joblib,none,0.9517241379310344,0.0,0.9295774647887324,0.0,-0.0221466731423021,0.0
paraphrase_like,sms_uci,minilm_lr.joblib,normalize,0.9130434782608695,0.0,0.9130434782608695,0.0,0.0,0.0
paraphrase_like,sms_uci,spamassassin_minilm_lr.joblib,none,0.1346153846153846,0.0,0.1310679611650485,0.0,-0.003547423450336,0.0
paraphrase_like,sms_uci,spamassassin_minilm_lr.joblib,normalize,0.1102756892230576,0.0,0.11111111111111112,0.0,0.0008354218880534,0.0
paraphrase_like,sms_uci,spamassassin_tfidf_char_svm.joblib,none,0.22356495468277943,0.0,0.1672025723472668,0.0,-0.05636238233551251,0.0
paraphrase_like,sms_uci,spamassassin_tfidf_char_svm.joblib,normalize,0.2235294117647059,0.0,0.1901840490797546,0.0,-0.0333453626849512,0.0
paraphrase_like,sms_uci,spamassassin_tfidf_word_lr.joblib,none,0.2840236686390532,0.0,0.225,0.0,-0.059023668639053194,0.0
paraphrase_like,sms_uci,spamassassin_tfidf_word_lr.joblib,normalize,0.2789317507418398,0.0,0.2138364779874214,0.0,-0.0650952727544184,0.0
paraphrase_like,sms_uci,tfidf_char_svm.joblib,none,0.9726027397260275,0.0,0.9655172413793103,0.0,-0.007085498346717,0.0
paraphrase_like,sms_uci,tfidf_char_svm.joblib,normalize,0.9361702127659577,0.0,0.9051094890510948,0.0,-0.031060723714862504,0.0
paraphrase_like,sms_uci,tfidf_llm_lr.joblib,none,0.9208633093525179,0.0,0.8636363636363636,0.0,-0.0572269457161543,0.0
paraphrase_like,sms_uci,tfidf_llm_lr.joblib,normalize,0.8721804511278195,0.0,0.8188976377952756,0.0,-0.0532828133325439,0.0
paraphrase_like,sms_uci,tfidf_word_lr.joblib,none,0.9208633093525179,0.0,0.8721804511278195,0.0,-0.0486828582246985,0.0
paraphrase_like,sms_uci,tfidf_word_lr.joblib,normalize,0.8721804511278195,0.0,0.8188976377952756,0.0,-0.0532828133325439,0.0
paraphrase_like,spamassassin,minilm_lr.joblib,none,0.154727793696275,0.0,0.154727793696275,0.0,0.0,0.0
paraphrase_like,spamassassin,minilm_lr.joblib,normalize,0.2864197530864197,0.0,0.28287841191067,0.0,-0.0035413411757497003,0.0
paraphrase_like,spamassassin,spamassassin_minilm_lr.joblib,none,0.3163097199341021,0.0,0.3140495867768595,0.0,-0.0022601331572426,0.0
paraphrase_like,spamassassin,spamassassin_minilm_lr.joblib,normalize,0.3596638655462185,0.0,0.3581081081081081,0.0,-0.0015557574381103,0.0
paraphrase_like,spamassassin,spamassassin_tfidf_char_svm.joblib,none,0.0931780366056572,0.0,0.0933333333333333,0.0,0.000155296727676,0.0
paraphrase_like,spamassassin,spamassassin_tfidf_char_svm.joblib,normalize,0.1349072512647554,0.0,0.1349072512647554,0.0,0.0,0.0
paraphrase_like,spamassassin,spamassassin_tfidf_word_lr.joblib,none,0.11647254575707149,0.0,0.1135225375626043,0.0,-0.0029500081944671,0.0
paraphrase_like,spamassassin,spamassassin_tfidf_word_lr.joblib,normalize,0.1359867330016583,0.0,0.1333333333333333,0.0,-0.002653399668325,0.0
paraphrase_like,spamassassin,tfidf_char_svm.joblib,none,0.4618181818181818,0.0,0.4570383912248629,0.0,-0.0047797905933189,0.0
paraphrase_like,spamassassin,tfidf_char_svm.joblib,normalize,0.3062645011600928,0.0,0.3004694835680751,0.0,-0.0057950175920176,0.0
paraphrase_like,spamassassin,tfidf_llm_lr.joblib,none,0.1303116147308781,0.0,0.12,0.0,-0.0103116147308781,0.0
paraphrase_like,spamassassin,tfidf_llm_lr.joblib,normalize,0.1371428571428571,0.0,0.12138728323699419,0.0,-0.0157555739058629,0.0
paraphrase_like,spamassassin,tfidf_word_lr.joblib,none,0.1348314606741573,0.0,0.1242937853107344,0.0,-0.0105376753634228,0.0
paraphrase_like,spamassassin,tfidf_word_lr.joblib,normalize,0.1464788732394366,0.0,0.131054131054131,0.0,-0.015424742185305502,0.0
prompt_injection,sms_uci,minilm_lr.joblib,none,0.9517241379310344,0.0,0.9078947368421051,0.0,-0.0438294010889291,0.0
prompt_injection,sms_uci,minilm_lr.joblib,normalize,0.9130434782608695,0.0,0.9379310344827585,0.0,0.024887556221889,0.0
prompt_injection,sms_uci,spamassassin_minilm_lr.joblib,none,0.1346153846153846,0.0,0.193103448275862,0.0,0.05848806366047741,0.0
prompt_injection,sms_uci,spamassassin_minilm_lr.joblib,normalize,0.1102756892230576,0.0,0.1875,0.0,0.0772243107769423,0.0
prompt_injection,sms_uci,spamassassin_tfidf_char_svm.joblib,none,0.22356495468277943,0.0,0.1818181818181818,0.0,-0.0417467728645976,0.0
prompt_injection,sms_uci,spamassassin_tfidf_char_svm.joblib,normalize,0.2235294117647059,0.0,0.1948051948051948,0.0,-0.028724216959511002,0.0
prompt_injection,sms_uci,spamassassin_tfidf_word_lr.joblib,none,0.2840236686390532,0.0,0.2781954887218045,0.0,-0.0058281799172487,0.0
prompt_injection,sms_uci,spamassassin_tfidf_word_lr.joblib,normalize,0.2789317507418398,0.0,0.2781954887218045,0.0,-0.0007362620200352,0.0
prompt_injection,sms_uci,tfidf_char_svm.joblib,none,0.9726027397260275,0.0,0.9795918367346939,0.0,0.006989097008666399,0.0
prompt_injection,sms_uci,tfidf_char_svm.joblib,normalize,0.9361702127659577,0.0,0.9583333333333334,0.0,0.0221631205673759,0.0
prompt_injection,sms_uci,tfidf_llm_lr.joblib,none,0.9208633093525179,0.0,0.8970588235294118,0.0,-0.0238044858231062,0.0
prompt_injection,sms_uci,tfidf_llm_lr.joblib,normalize,0.8721804511278195,0.0,0.8372093023255814,0.0,-0.034971148802238,0.0
prompt_injection,sms_uci,tfidf_word_lr.joblib,none,0.9208633093525179,0.0,0.9051094890510948,0.0,-0.0157538203014231,0.0
prompt_injection,sms_uci,tfidf_word_lr.joblib,normalize,0.8721804511278195,0.0,0.8549618320610687,0.0,-0.0172186190667508,0.0
prompt_injection,spamassassin,minilm_lr.joblib,none,0.154727793696275,0.0,0.1727019498607242,0.0,0.0179741561644491,0.0
prompt_injection,spamassassin,minilm_lr.joblib,normalize,0.2864197530864197,0.0,0.2890995260663507,0.0,0.0026797729799309,0.0
prompt_injection,spamassassin,spamassassin_minilm_lr.joblib,none,0.3163097199341021,0.0,0.3218390804597701,0.0,0.0055293605256679,0.0
prompt_injection,spamassassin,spamassassin_minilm_lr.joblib,normalize,0.3596638655462185,0.0,0.3683360258481422,0.0,0.0086721603019236,0.0
prompt_injection,spamassassin,spamassassin_tfidf_char_svm.joblib,none,0.0931780366056572,0.0,0.077834179357022,0.0,-0.015343857248635202,0.0
prompt_injection,spamassassin,spamassassin_tfidf_char_svm.joblib,normalize,0.1349072512647554,0.0,0.10544815465729349,0.0,-0.029459096607461897,0.0
prompt_injection,spamassassin,spamassassin_tfidf_word_lr.joblib,none,0.11647254575707149,0.0,0.1072026800670016,0.0,-0.0092698656900698,0.0
prompt_injection,spamassassin,spamassassin_tfidf_word_lr.joblib,normalize,0.1359867330016583,0.0,0.1235392320534223,0.0,-0.0124475009482359,0.0
prompt_injection,spamassassin,tfidf_char_svm.joblib,none,0.4618181818181818,0.0,0.5254515599343186,0.0,0.0636333781161367,0.0
prompt_injection,spamassassin,tfidf_char_svm.joblib,normalize,0.3062645011600928,0.0,0.3844580777096114,0.0,0.0781935765495186,0.0
prompt_injection,spamassassin,tfidf_llm_lr.joblib,none,0.1303116147308781,0.0,0.12034383954154722,0.0,-0.0099677751893309,0.0
prompt_injection,spamassassin,tfidf_llm_lr.joblib,normalize,0.1371428571428571,0.0,0.1220930232558139,0.0,-0.015049833887043198,0.0
prompt_injection,spamassassin,tfidf_word_lr.joblib,none,0.1348314606741573,0.0,0.1246458923512747,0.0,-0.0101855683228825,0.0
prompt_injection,spamassassin,tfidf_word_lr.joblib,normalize,0.1464788732394366,0.0,0.1371428571428571,0.0,-0.0093360160965794,0.0
